City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-02-01 18:18:25,-53.15,-70.9167,53.62,58,40,39.12
1,Costa Rica,BR,2022-02-01 18:16:27,-23.4167,-54.65,91.17,36,19,4.59
2,Marsh Harbour,BS,2022-02-01 18:18:52,26.5412,-77.0636,68.02,53,45,13.04
3,Atuona,PF,2022-02-01 18:20:39,-9.8,-139.0333,77.86,79,18,22.24
4,Nikolskoye,RU,2022-02-01 18:20:39,59.7035,30.7861,26.49,100,100,2.42
5,Broome,US,2022-02-01 18:20:39,42.2506,-75.833,35.33,48,0,3.0
6,Tashara,RU,2022-02-01 18:20:40,55.5195,83.5094,16.07,94,97,8.37
7,Dongying,CN,2022-02-01 18:20:40,37.4564,118.4856,26.37,33,72,2.48
8,Sao Filipe,CV,2022-02-01 18:20:40,14.8961,-24.4956,75.65,71,100,9.6
9,Butaritari,KI,2022-02-01 18:18:32,3.0707,172.7902,81.28,76,99,11.07
10,Vaini,TO,2022-02-01 18:20:41,-21.2,-175.2,77.16,88,40,2.3
11,Paptalaya,HN,2022-02-01 18:20:41,15.5,-84.3167,83.79,54,0,5.12
12,Mataura,NZ,2022-02-01 18:20:42,-46.1927,168.8643,65.48,72,61,4.05
13,Avarua,CK,2022-02-01 18:20:42,-21.2078,-159.775,78.85,83,98,10.36
14,Imperia,IT,2022-02-01 18:20:42,43.9667,7.7833,44.56,62,0,4.41
15,Chernyshevskiy,RU,2022-02-01 18:20:43,63.0128,112.4714,-31.9,100,18,1.81
16,Castro,BR,2022-02-01 18:20:43,-24.7911,-50.0119,79.18,58,42,4.36
17,Tasiilaq,GL,2022-02-01 18:20:44,65.6145,-37.6368,10.56,71,72,6.53
18,Bagotville,AU,2022-02-01 18:20:44,-28.9833,153.4167,75.63,97,84,3.65
19,Qiongshan,CN,2022-02-01 18:20:44,20.0058,110.3542,58.98,94,75,11.18
20,Erzin,TR,2022-02-01 18:20:44,36.9559,36.2,46.92,81,79,5.64
21,Busselton,AU,2022-02-01 18:20:45,-33.65,115.3333,61.05,64,7,18.79
22,Usinsk,RU,2022-02-01 18:20:45,65.9939,57.5281,-6.54,99,72,7.05
23,Hobart,AU,2022-02-01 18:16:34,-42.8794,147.3294,51.66,58,38,1.01
24,Albany,US,2022-02-01 18:20:31,42.6001,-73.9662,35.94,48,10,1.99
25,Finnsnes,NO,2022-02-01 18:20:46,69.2296,17.9811,19.36,83,86,6.85
26,Constitucion,CL,2022-02-01 18:20:46,-35.3333,-72.4167,68.52,62,4,8.55
27,Ahuimanu,US,2022-02-01 18:20:46,21.4447,-157.8378,74.79,84,0,1.99
28,Lata,PT,2022-02-01 18:20:47,40.1629,-8.3327,61.21,60,0,7.29
29,Lebu,CL,2022-02-01 18:16:11,-37.6167,-73.65,65.98,68,0,12.3
30,Port Elizabeth,ZA,2022-02-01 18:20:47,-33.918,25.5701,80.89,65,0,3.44
31,Mogadishu,SO,2022-02-01 18:20:47,2.0371,45.3438,78.64,86,100,19.28
32,Bikin,RU,2022-02-01 18:20:48,46.8161,134.26,-10.61,100,68,2.39
33,Sept-Iles,CA,2022-02-01 18:20:48,50.2001,-66.3821,7.23,54,40,1.01
34,Iqaluit,CA,2022-02-01 18:20:49,63.7506,-68.5145,-20.47,74,100,0.0
